name,address,email,website,phone,postalCode
la Pergola,"Rue Auguste-Bachelin 1, 2074 Marin-Epagnier",,http://www.chezross-pizzeria.ch/,+41327535350,2074
CIS Marin SA,"Route des Marais 10, 2074 Marin-Epagnier",,http://www.cis-marin.ch/,+41327557171,2074
Au Lion d'Or,"Rue Auguste-Bachelin 6, 2074 Marin-Epagnier",,,+41327531661,2074
Maccaro,"Route des Marais 10, 2074 Marin-Epagnier",ciao@maccaro.ch,http://maccaro.ch/,+41327557176,2074
Restaurant Oliva,"Rue de la Fleur-de-Lys 26, 2074 Marin-Epagnier",,,+41327530401,2074
Restaurant-Auberge La Tène,"Chemin de la Tène, 2074 Marin-Epagnier",,,+41327538030,2074
Terzopiano Ristorante,"Av. des Champs-Montants 10A, 2074 Marin-Epagnier",,http://www.3piano.ch/,+41327536666,2074
Restaurant Feuillage,"Rue de la Gare 38, 2074 Marin-Epagnier",feuillage7799@gmail.com,,+41327530202,2074
Migros Restaurant Marin-Centre,"Rue de la Fleur-de-Lys 26, 2074 Marin-Epagnier",,,+41585738525,2074
McDonald's Restaurant,"Rue des Perveuils 2, 2074 Marin-Epagnier",,,+41327530020,2074
